Movie Title,CODE,Mon - Tue,Wed - Fri,Sat - Sun,IMDB Link,Rating,CoverImage,Trailer,Blip,Actors
Top Gun: Maverick,ACT,9pm,9pm,6pm,https://www.imdb.com/title/tt1745960,M,tt1745960.jpg,https://youtube.com/embed/giXco2jaZ_4,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.","Tom Cruise,Val Kilmer,Miles Teller"
Mrs Harris goes to Paris,RMC,,12pm,3pm,https://www.imdb.com/title/tt5151570,PG,tt5151570.jpg,https://youtube.com/embed/iO9JcPbbmAA,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own","Lesley Manville,Jason Isaacs,Anna Chancellor"
Lightyear,FAM,12pm,6pm,12pm,https://www.imdb.com/title/tt10298810,PG,tt10298810.jpg,https://youtube.com/embed/BwZs3H_UN3k,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","Chris Evans(voice),Keke Palmer(voice),Peter Sohn(voice)"
Prithviraj,AHF,6pm,,9pm,https://www.imdb.com/title/tt9637132,M,tt9637132.jpg,https://youtube.com/embed/33-CQdPHyjw,"A fearless warrior. An epic love story. Witness the grand saga of Samrat Prithviraj Chauhan.","Akshay Kumar,Sanjay Dutt,Manushi Chhillar"
